timestamp,vesc_id,duty_cycle
1753359792.571703196,28,0.1290
1753359792.589744806,46,0.1290
1753359792.590931416,28,0.1290
1753359792.609855890,46,0.1290
1753359792.610995531,28,0.1290
1753359792.629801512,46,0.1290
1753359792.630912542,28,0.1290
1753359792.649770975,46,0.1290
1753359792.650954485,28,0.1290
1753359792.669698954,46,0.1240
1753359792.670966387,28,0.0860
1753359792.690138578,46,0.1240
1753359792.690771818,28,0.1240
1753359792.709601641,46,0.1240
1753359792.710677385,28,0.1240
1753359792.729850292,46,0.1240
1753359792.730701208,28,0.1240
1753359792.749292135,46,0.1240
1753359792.750913858,28,0.1240
1753359792.769268274,46,0.1240
1753359792.770521164,28,0.1240
1753359792.789157867,46,0.1240
1753359792.790468931,28,0.1240
1753359792.809192419,46,0.1240
1753359792.810619593,28,0.1240
1753359792.829597712,46,0.1240
1753359792.831005335,28,0.1240
1753359792.849091291,46,0.1240
1753359792.850591898,28,0.1240
1753359792.868906736,46,0.1190
1753359792.870548248,28,0.1190
1753359792.889186382,46,0.1190
1753359792.890883446,28,0.1190
1753359792.908982515,46,0.1190
1753359792.910588980,28,0.1190
1753359792.929301500,46,0.1190
1753359792.930619478,28,0.1190
1753359792.948942900,46,0.1190
1753359792.950717449,28,0.1080
1753359792.968803644,46,0.1180
1753359792.970440626,28,0.1190
1753359792.988923073,46,0.1190
1753359792.990716934,28,0.1190
1753359793.008819342,46,0.1190
1753359793.010412216,28,0.1190
1753359793.028604746,46,0.1190
1753359793.030895710,28,0.1190
1753359793.049213171,46,0.1190
1753359793.050668716,28,0.1190
1753359793.068740129,46,0.1140
1753359793.070599079,28,0.1140
1753359793.088682175,46,0.1100
1753359793.090204477,28,0.1140
1753359793.108413696,46,0.1140
1753359793.110180378,28,0.1140
1753359793.128584862,46,0.1140
1753359793.130120516,28,0.1140
1753359793.148791313,46,0.1140
1753359793.150825977,28,0.1050
1753359793.168389559,46,0.1080
1753359793.170106173,28,0.1140
1753359793.188200235,46,0.1140
1753359793.190030575,28,0.1140
