timestamp,vesc_id,tachometer_raw
1753360020.150348902,46,9545
1753360020.153712273,28,9511
1753360020.170289993,46,9548
1753360020.173645020,28,9514
1753360020.191129923,46,9551
1753360020.193643332,28,9517
1753360020.210404158,46,9554
1753360020.213501692,28,9519
1753360020.230168343,46,9556
1753360020.233462811,28,9522
1753360020.250262737,46,9559
1753360020.253509045,28,9525
1753360020.270172834,46,9562
1753360020.273324251,28,9528
1753360020.290056467,46,9565
1753360020.293301821,28,9531
1753360020.310192108,46,9567
1753360020.313286066,28,9534
1753360020.329918385,46,9570
1753360020.333237410,28,9536
1753360020.350341558,46,9573
1753360020.353205919,28,9539
1753360020.369995594,46,9576
1753360020.373380423,28,9542
1753360020.389814615,46,9579
1753360020.393199682,28,9545
1753360020.410085440,46,9582
1753360020.413161039,28,9548
1753360020.429765940,46,9584
1753360020.433266640,28,9551
1753360020.449684143,46,9587
1753360020.453042030,28,9554
1753360020.469660997,46,9590
1753360020.473008156,28,9557
1753360020.489600420,46,9593
1753360020.493015051,28,9560
1753360020.509814739,46,9596
1753360020.512886286,28,9563
1753360020.529563189,46,9599
1753360020.533074141,28,9566
1753360020.549447060,46,9602
1753360020.552821159,28,9568
1753360020.569734097,46,9605
1753360020.572778940,28,9571
1753360020.589387894,46,9608
1753360020.592975140,28,9574
1753360020.609242916,46,9611
1753360020.612670183,28,9577
1753360020.629283667,46,9614
1753360020.632753611,28,9581
1753360020.649177551,46,9617
1753360020.652598619,28,9584
1753360020.669167757,46,9620
1753360020.672665358,28,9587
1753360020.689203501,46,9622
1753360020.692710876,28,9590
1753360020.709272623,46,9626
1753360020.712507248,28,9593
1753360020.729146004,46,9628
1753360020.732571840,28,9596
1753360020.749167442,46,9631
1753360020.752675056,28,9599
1753360020.768926144,46,9634
1753360020.772623062,28,9602
1753360020.789094687,46,9638
1753360020.792593718,28,9605
1753360020.809021711,46,9641
1753360020.812650681,28,9608
1753360020.828761578,46,9644
1753360020.832515955,28,9611
1753360020.848728418,46,9647
1753360020.852467299,28,9614
1753360020.868697166,46,9650
1753360020.872424603,28,9617
1753360020.888596058,46,9653
1753360020.892342806,28,9621
1753360020.908849716,46,9656
1753360020.912405968,28,9624
1753360020.928650856,46,9659
1753360020.933206320,28,9627
1753360020.948585510,46,9662
1753360020.952331543,28,9630
1753360020.968498707,46,9665
1753360020.972228765,28,9633
1753360020.988397121,46,9668
1753360020.992247581,28,9636
1753360021.008453369,46,9671
1753360021.012335300,28,9639
1753360021.028336048,46,9675
1753360021.032211781,28,9643
1753360021.048184633,46,9678
1753360021.052122355,28,9646
1753360021.068182230,46,9681
1753360021.072210073,28,9649
1753360021.088624954,46,9684
1753360021.092843294,28,9652
1753360021.108055353,46,9687
1753360021.111874580,28,9655
1753360021.128068924,46,9691
1753360021.131868124,28,9659
1753360021.147962093,46,9694
1753360021.151818037,28,9662
1753360021.167950153,46,9697
1753360021.171817064,28,9665
1753360021.187923908,46,9700
1753360021.191987038,28,9668
1753360021.207876682,46,9703
1753360021.211802483,28,9672
1753360021.228156567,46,9707
1753360021.232430935,28,9675
1753360021.247982502,46,9710
1753360021.251682520,28,9678
1753360021.267733335,46,9713
1753360021.271669865,28,9682
1753360021.287722588,46,9716
1753360021.291623116,28,9685
1753360021.307633400,46,9720
1753360021.311628819,28,9688
1753360021.327597380,46,9723
1753360021.331566334,28,9692
1753360021.347594023,46,9726
1753360021.351714849,28,9695
1753360021.367562294,46,9730
1753360021.371490002,28,9699
1753360021.387516499,46,9733
1753360021.391371727,28,9702
1753360021.407452106,46,9736
1753360021.411420345,28,9705
1753360021.427358866,46,9740
1753360021.431368351,28,9709
1753360021.447342396,46,9743
1753360021.451335907,28,9712
1753360021.467446566,46,9746
1753360021.471450090,28,9715
1753360021.487255096,46,9750
1753360021.491258144,28,9719
1753360021.507224321,46,9753
1753360021.511839390,28,9723
1753360021.527579308,46,9757
1753360021.531196833,28,9726
1753360021.547044754,46,9760
1753360021.551056862,28,9729
1753360021.567054749,46,9763
1753360021.571408987,28,9733
1753360021.586949348,46,9767
1753360021.590991259,28,9736
1753360021.607230902,46,9770
1753360021.610985041,28,9740
1753360021.626951933,46,9774
1753360021.630884171,28,9743
1753360021.646843672,46,9777
1753360021.650855541,28,9747
1753360021.667092562,46,9781
1753360021.671412230,28,9750
1753360021.686724901,46,9784
1753360021.690796614,28,9754
1753360021.706666470,46,9788
1753360021.710764647,28,9757
1753360021.726969957,46,9791
1753360021.730823278,28,9761
1753360021.746742964,46,9795
1753360021.750964403,28,9764
1753360021.766486168,46,9798
1753360021.770658493,28,9768
1753360021.786556959,46,9802
1753360021.790650606,28,9772
1753360021.806400776,46,9805
1753360021.810541630,28,9775
1753360021.826625109,46,9809
1753360021.830490828,28,9779
1753360021.846873045,46,9812
1753360021.850565434,28,9782
1753360021.866269588,46,9816
1753360021.870440006,28,9786
1753360021.886303186,46,9819
1753360021.890372276,28,9789
1753360021.906394005,46,9823
1753360021.910600185,28,9793
1753360021.926511526,46,9827
1753360021.930418015,28,9797
1753360021.946115494,46,9830
1753360021.950296640,28,9800
1753360021.966245413,46,9834
1753360021.970304012,28,9804
1753360021.986046791,46,9837
1753360021.990220785,28,9808
1753360022.006632566,46,9841
1753360022.010288954,28,9811
1753360022.026014090,46,9845
1753360022.030357361,28,9815
1753360022.045936346,46,9848
1753360022.050183773,28,9819
1753360022.066869259,46,9852
1753360022.070140123,28,9823
1753360022.085780144,46,9856
1753360022.090176582,28,9826
1753360022.106257439,46,9859
1753360022.110286236,28,9830
1753360022.125676394,46,9863
1753360022.130174637,28,9834
1753360022.145650387,46,9867
1753360022.150271177,28,9838
1753360022.165588140,46,9870
1753360022.170113325,28,9841
1753360022.185653687,46,9874
1753360022.190178394,28,9845
1753360022.205507517,46,9878
1753360022.209977627,28,9849
1753360022.225761175,46,9882
1753360022.229933023,28,9853
1753360022.245445013,46,9885
1753360022.250002146,28,9857
1753360022.265671730,46,9889
1753360022.269889593,28,9861
1753360022.285820961,46,9893
1753360022.289865017,28,9864
1753360022.305253267,46,9897
1753360022.309763670,28,9868
1753360022.325390816,46,9901
1753360022.329809904,28,9872
1753360022.345130920,46,9904
1753360022.349715710,28,9876
1753360022.365072012,46,9908
1753360022.369648218,28,9880
1753360022.385240793,46,9912
1753360022.389654875,28,9883
1753360022.405021906,46,9916
1753360022.409822702,28,9887
1753360022.424962282,46,9919
1753360022.429552794,28,9891
1753360022.445071697,46,9923
1753360022.449481726,28,9895
1753360022.464853287,46,9927
1753360022.469458342,28,9899
1753360022.485402107,46,9930
1753360022.489422798,28,9902
1753360022.505308628,46,9934
1753360022.509459257,28,9906
1753360022.524779081,46,9938
1753360022.529369831,28,9910
1753360022.544675112,46,9941
1753360022.549314737,28,9913
1753360022.564609766,46,9945
1753360022.569259882,28,9917
1753360022.584599972,46,9949
1753360022.589256048,28,9921
1753360022.604882002,46,9952
1753360022.609297037,28,9925
1753360022.624480724,46,9956
1753360022.629161358,28,9928
1753360022.644447565,46,9960
1753360022.649151564,28,9932
1753360022.664815664,46,9963
1753360022.669214010,28,9936
1753360022.684365273,46,9967
1753360022.689184427,28,9939
1753360022.704318762,46,9970
1753360022.709115505,28,9943
1753360022.724505424,46,9974
1753360022.728967190,28,9946
1753360022.744221449,46,9978
1753360022.749041319,28,9950
1753360022.764749527,46,9981
1753360022.768975973,28,9954
1753360022.784214973,46,9985
1753360022.788832664,28,9957
