duty_cycle,vesc_id,tick_delta,time_delta
-0.0150000000000001,28,-1,0.17966699600219727
-0.0200000000000001,28,-2,0.17996883392333984
-0.025000000000000102,28,-3,0.17947816848754883
-0.030000000000000103,28,-4,0.17931747436523438
-0.0350000000000001,28,-5,0.17960309982299805
-0.0400000000000001,28,-6,0.1795046329498291
-0.045000000000000095,28,-7,0.1996617317199707
-0.05000000000000009,28,-8,0.17976021766662598
-0.05500000000000009,28,-8,0.17966771125793457
-0.06000000000000009,28,-9,0.1793231964111328
-0.06500000000000009,28,-10,0.17967987060546875
-0.07000000000000009,28,-11,0.178863525390625
-0.0750000000000001,28,-11,0.17991042137145996
-0.0800000000000001,28,-12,0.17961382865905762
-0.0850000000000001,28,-13,0.17953062057495117
-0.09000000000000011,28,-15,0.1799929141998291
-0.09500000000000011,28,-16,0.17969942092895508
-0.10000000000000012,28,-16,0.1804819107055664
-0.10500000000000012,28,-17,0.17990899085998535
-0.11000000000000013,28,-18,0.1797652244567871
-0.11500000000000013,28,-19,0.17961359024047852
-0.12000000000000013,28,-20,0.17975544929504395
-0.12500000000000014,28,-21,0.17982244491577148
-0.13000000000000014,28,-22,0.17940521240234375
-0.13500000000000015,28,-23,0.1797492504119873
-0.14000000000000015,28,-24,0.1796553134918213
-0.14500000000000016,28,-27,0.19908523559570312
-0.15000000000000016,28,-25,0.17995238304138184
-0.15500000000000017,28,-27,0.17975163459777832
-0.16000000000000017,28,-27,0.17972946166992188
-0.16500000000000017,28,-28,0.1796102523803711
-0.17000000000000018,28,-29,0.17965936660766602
-0.17500000000000018,28,-30,0.17990374565124512
-0.1800000000000002,28,-31,0.1792614459991455
-0.1850000000000002,28,-32,0.17982935905456543
-0.1900000000000002,28,-33,0.18025922775268555
-0.1950000000000002,28,-34,0.17971539497375488
-0.2,28,-34,0.1795501708984375
-0.195,28,-34,0.1801748275756836
-0.19,28,-33,0.1795647144317627
-0.185,28,-32,0.1799635887145996
-0.18,28,-31,0.17966699600219727
-0.175,28,-31,0.17970752716064453
